symbol,train_win_rate,train_gap_threshold_value
HAPPSTMNDS,0.4,2.11
HATHWAY,0.78,3.66
HATSUN,1.0,4.17
HAVELLS,0.64,1.79
HEIDELBERG,0.75,3.25
HEMIPROP,0.55,3.81
HEROMOTOCO,0.8,1.37
HIKAL,0.91,3.79
HINDALCO,0.37,2.25
HGS,0.81,3.03
HAL,0.72,3.04
HINDCOPPER,0.82,2.54
HINDPETRO,0.57,2.26
HINDUNILVR,0.63,1.4
HINDZINC,0.85,2.27
HOMEFIRST,0.33,2.1
HONAUT,0.91,3.14
HUDCO,0.47,3.26
HDFC,0.6,1.41
ICICIBANK,0.38,2.36
ICICIGI,0.53,1.46
ICICIPRULI,0.33,1.75
ISEC,0.7,2.88
IDBI,0.66,2.32
IDFCFIRSTB,0.7,2.56
IDFC,0.67,7.17
IFBIND,0.91,4.23
IIFL,0.85,3.32
IIFLWAM,0.77,3.82
IOLCP,0.8,7.62
IRB,0.7,2.28
IRCON,0.8,2.81
ITC,0.48,1.45
ITI,0.69,4.36
INDIACEM,0.84,2.49
IBULHSGFIN,0.64,1.97
IBREALEST,0.55,2.61
INDIAMART,0.64,3.11
INDIANB,0.76,3.0
IEX,0.68,2.53
INDHOTEL,0.86,2.21
IOC,0.7,1.93
IOB,0.65,3.02
IRCTC,0.19,3.5
IRFC,0.67,1.53
INDIGOPNTS,0.75,1.56
ICIL,0.75,8.19
INDOCO,0.89,3.44
IGL,0.71,1.83
INDUSTOWER,0.68,1.85
INDUSINDBK,0.59,2.0
INFIBEAM,0.45,3.62
NAUKRI,0.88,2.6
INFY,0.76,1.95
INGERRAND,0.9,3.33
INOXLEISUR,0.78,2.46
INTELLECT,0.34,1.9
INDIGO,0.68,1.97
IPCALAB,0.95,2.26
JBCHEPHARM,0.86,2.67
JKCEMENT,0.73,2.9
JKLAKSHMI,0.86,2.97
JKPAPER,0.88,3.61
JKTYRE,0.67,2.44
JMFINANCIL,0.73,2.77
JSWSTEEL,0.51,1.47
JAMNAAUTO,0.79,5.56
JINDALSAW,0.69,2.3
JSLHISAR,0.62,2.46
JSL,1.0,9.75
JINDALSTEL,0.67,2.34
JCHAC,0.73,3.12
JUBLFOOD,0.6,1.74
JUBLINGREA,0.33,2.83
JUBLPHARMA,0.69,2.81
JUSTDIAL,0.62,2.16
JYOTHYLAB,0.9,3.0
KPRMILL,1.0,4.55
KEI,0.87,5.75
KNRCON,0.88,5.21
KPITTECH,0.52,4.65
KRBL,0.67,2.7
KSB,0.92,3.4
KAJARIACER,0.91,2.27
KALPATPOWR,0.78,3.0
KALYANKJIL,0.0,2.62
KANSAINER,0.84,2.03
KARURVYSYA,0.84,1.83
KSCL,0.79,2.73
KEC,0.9,2.86
KOTAKBANK,0.64,1.46
L&TFH,0.7,2.02
LTTS,0.62,2.14
LICHSGFIN,0.51,1.62
LAOPALA,0.81,3.81
LAXMIMACH,0.83,2.32
LTI,0.57,1.76
LT,0.31,1.64
LAURUSLABS,0.73,2.84
LXCHEM,0.29,3.18
LEMONTREE,0.37,4.43
LINDEINDIA,0.87,2.67
LUPIN,0.86,1.58
LUXIND,0.63,2.33
MMTC,0.59,3.11
MOIL,0.8,2.06
MRF,0.74,1.45
LODHA,0.62,2.24
MGL,0.65,1.71
M&MFIN,0.78,2.17
M&M,0.63,1.32
MAHINDCIE,0.78,4.11
MHRIL,0.91,2.76
MAHLOG,0.86,3.57
MANAPPURAM,0.71,3.52
MRPL,0.87,3.09
MARICO,0.86,1.84
MARUTI,0.49,1.56
MASTEK,0.0,12.73
MFSL,0.69,3.82
MAXHEALTH,0.33,2.61
MAZDOCK,0.56,1.53
METROPOLIS,0.6,3.01
MINDTREE,0.75,1.99
MINDACORP,0.67,5.31
MINDAIND,0.84,6.61
MIDHANI,0.5,3.43
MOTILALOFS,0.93,4.09
MPHASIS,0.8,1.89
MCX,0.43,2.35
